client,name,group,slot_time
client_14,XuyenChiXaoToi,fixed,
client_15,Bong,fixed,
client_3,ComChanNuocMat,fixed,
client_1,BoGiaDuaNon,fixed,
client_13,CayBangNon,fixed,
client_8,khoqua10,gr3,12:30
client_6,Me,gr3,12:30
client_5,khoqua07,gr3,12:30
client_2,khoqua08,gr3,12:30
client_7,khoqua09,gr3,12:30
client_31,NA,gr4,19:45
client_32,COC,gr4,19:45
client_33,XOAI,gr4,19:45
client_34,CHUOI,gr4,19:45
client_35,CAM,gr4,19:45
client_41,HANMI,gr1,04:00
client_42,Ahihi10,gr1,04:00
client_43,Ahihi6,gr1,04:00
client_44,Ahihi8,gr1,04:00
client_45,Ahihi9,gr1,04:00
client_46,MachNhi,gr2,08:00
client_47,DoanVanThu,gr2,08:00
client_48,LieuAnh,gr2,08:00
client_49,BinhDuc,gr2,08:00
client_50,DieuLinh,gr2,08:00
client_51,Emm.Miuu,none,
client_68,Ghost Story PC 0,none,
